team_name,player_name,source_note,source_url,source_date,comment
France,Mike Maignan,manual_curated_candidate,https://en.wikipedia.org/wiki/France_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
France,Jules Kounde,manual_curated_candidate,https://en.wikipedia.org/wiki/France_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
France,William Saliba,manual_curated_candidate,https://en.wikipedia.org/wiki/France_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
France,Dayot Upamecano,manual_curated_candidate,https://en.wikipedia.org/wiki/France_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
France,Theo Hernandez,manual_curated_candidate,https://en.wikipedia.org/wiki/France_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
France,Aurelien Tchouameni,manual_curated_candidate,https://en.wikipedia.org/wiki/France_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
France,Eduardo Camavinga,manual_curated_candidate,https://en.wikipedia.org/wiki/France_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
France,Adrien Rabiot,manual_curated_candidate,https://en.wikipedia.org/wiki/France_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
France,Kylian Mbappe,manual_curated_candidate,https://en.wikipedia.org/wiki/France_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
France,Ousmane Dembele,manual_curated_candidate,https://en.wikipedia.org/wiki/France_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
France,Bradley Barcola,manual_curated_candidate,https://en.wikipedia.org/wiki/France_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Spain,Unai Simon,manual_curated_candidate,https://en.wikipedia.org/wiki/Spain_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Spain,Dani Carvajal,manual_curated_candidate,https://en.wikipedia.org/wiki/Spain_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Spain,Robin Le Normand,manual_curated_candidate,https://en.wikipedia.org/wiki/Spain_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Spain,Aymeric Laporte,manual_curated_candidate,https://en.wikipedia.org/wiki/Spain_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Spain,Alejandro Balde,manual_curated_candidate,https://en.wikipedia.org/wiki/Spain_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Spain,Rodri,manual_curated_candidate,https://en.wikipedia.org/wiki/Spain_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Spain,Pedri,manual_curated_candidate,https://en.wikipedia.org/wiki/Spain_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Spain,Fabian Ruiz,manual_curated_candidate,https://en.wikipedia.org/wiki/Spain_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Spain,Lamine Yamal,manual_curated_candidate,https://en.wikipedia.org/wiki/Spain_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Spain,Nico Williams,manual_curated_candidate,https://en.wikipedia.org/wiki/Spain_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Spain,Alvaro Morata,manual_curated_candidate,https://en.wikipedia.org/wiki/Spain_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Argentina,Emiliano Martinez,manual_curated_candidate,https://en.wikipedia.org/wiki/Argentina_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Argentina,Nahuel Molina,manual_curated_candidate,https://en.wikipedia.org/wiki/Argentina_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Argentina,Cristian Romero,manual_curated_candidate,https://en.wikipedia.org/wiki/Argentina_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Argentina,Nicolas Otamendi,manual_curated_candidate,https://en.wikipedia.org/wiki/Argentina_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Argentina,Nicolas Tagliafico,manual_curated_candidate,https://en.wikipedia.org/wiki/Argentina_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Argentina,Rodrigo De Paul,manual_curated_candidate,https://en.wikipedia.org/wiki/Argentina_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Argentina,Enzo Fernandez,manual_curated_candidate,https://en.wikipedia.org/wiki/Argentina_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Argentina,Alexis Mac Allister,manual_curated_candidate,https://en.wikipedia.org/wiki/Argentina_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Argentina,Lionel Messi,manual_curated_candidate,https://en.wikipedia.org/wiki/Argentina_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Argentina,Julian Alvarez,manual_curated_candidate,https://en.wikipedia.org/wiki/Argentina_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
Argentina,Lautaro Martinez,manual_curated_candidate,https://en.wikipedia.org/wiki/Argentina_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
England,Jordan Pickford,manual_curated_candidate,https://en.wikipedia.org/wiki/England_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
England,Kyle Walker,manual_curated_candidate,https://en.wikipedia.org/wiki/England_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
England,John Stones,manual_curated_candidate,https://en.wikipedia.org/wiki/England_national_football_team,2026-07-12,Manual curated candidate list cross-checked against public national team page; not an official FIFA final squad.
